...1,Label,sum_Area,condition,channel
281,MAX_20220210_Kstim_250122_No2_lac_L5_S4L_C1.tif,67.727,lac,Glia
282,MAX_20220210_Kstim_250122_No2_lac_L5_S4L_C3.tif,189.673,lac,HRP
283,MAX_20220210_Kstim_250122_No2_lac_L5_S5L_C1.tif,18.29,lac,Glia
284,MAX_20220210_Kstim_250122_No2_lac_L5_S5L_C3.tif,121.393,lac,HRP
285,MAX_20220210_Kstim_250122_No2_lac_L6_S2L_C1.tif,387.128,lac,Glia
286,MAX_20220210_Kstim_250122_No2_lac_L6_S2L_C3.tif,638.233,lac,HRP
287,MAX_20220210_Kstim_250122_No2_lac_L6_S2R_C1.tif,239.434,lac,Glia
288,MAX_20220210_Kstim_250122_No2_lac_L6_S2R_C3.tif,479.488,lac,HRP
289,MAX_20220210_Kstim_250122_No2_lac_L6_S3L_C1.tif,104.392,lac,Glia
290,MAX_20220210_Kstim_250122_No2_lac_L6_S3L_C3.tif,378.657,lac,HRP
291,MAX_20220210_Kstim_250122_No2_lac_L6_S3R_C1.tif,109.559,lac,Glia
292,MAX_20220210_Kstim_250122_No2_lac_L6_S3R_C3.tif,255.038,lac,HRP
293,MAX_20220210_Kstim_250122_No2_lac_L6_S4L_C1.tif,63.899,lac,Glia
294,MAX_20220210_Kstim_250122_No2_lac_L6_S4L_C3.tif,331.079,lac,HRP
295,MAX_20220210_Kstim_250122_No2_lac_L6_S4R_C1.tif,38.126,lac,Glia
296,MAX_20220210_Kstim_250122_No2_lac_L6_S4R_C3.tif,224.719,lac,HRP
297,MAX_20220210_Kstim_250122_No2_lac_L6_S5L_C1.tif,49.759,lac,Glia
298,MAX_20220210_Kstim_250122_No2_lac_L6_S5L_C3.tif,250.196,lac,HRP
299,MAX_20220210_Kstim_250122_No2_lac_L6_S5R_C1.tif,29.026,lac,Glia
300,MAX_20220210_Kstim_250122_No2_lac_L6_S5R_C3.tif,223.802,lac,HRP
301,MAX_20220210_Kstim_250122_No2_lac_L7_S2L_C1.tif,169.676,lac,Glia
302,MAX_20220210_Kstim_250122_No2_lac_L7_S2L_C3.tif,510.035,lac,HRP
303,MAX_20220210_Kstim_250122_No2_lac_L7_S3L_C1.tif,203.066,lac,Glia
304,MAX_20220210_Kstim_250122_No2_lac_L7_S3L_C3.tif,395.142,lac,HRP
305,MAX_20220210_Kstim_250122_No2_lac_L7_S3R_C1.tif,198.36,lac,Glia
306,MAX_20220210_Kstim_250122_No2_lac_L7_S3R_C3.tif,368.817,lac,HRP
307,MAX_20220210_Kstim_250122_No2_lac_L7_S4L_C1.tif,66.556,lac,Glia
308,MAX_20220210_Kstim_250122_No2_lac_L7_S4L_C3.tif,312.16,lac,HRP
309,MAX_20220210_Kstim_250122_No2_lac_L7_S4R_C1.tif,110.851,lac,Glia
310,MAX_20220210_Kstim_250122_No2_lac_L7_S4R_C3.tif,325.443,lac,HRP
311,MAX_20220210_Kstim_250122_No2_lac_L7_S5L_C1.tif,78.91,lac,Glia
312,MAX_20220210_Kstim_250122_No2_lac_L7_S5L_C3.tif,261.752,lac,HRP
