...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
720,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C1.tif,54.097,254.94,0,255,13791.478,3264255
721,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C3.tif,29.254,255,255,255,7459.745,1765620
722,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C3.tif,3.241,255,255,255,826.347,195585
723,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C3.tif,132.424,254.007,0,255,33636.727,7961355
724,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C3.tif,11.948,255,255,255,3046.817,721140
725,MAX_20220729_Mdr_GFP_lac_GD_L3_S5L_C3.tif,5.007,255,255,255,1276.689,302175
726,MAX_20220729_Mdr_GFP_lac_GD_L3_S5R_C1.tif,120.091,249.904,0,255,30011.36,7103280
727,MAX_20220729_Mdr_GFP_lac_GD_L3_S5R_C3.tif,303.258,251.007,0,255,76119.78,18016515
728,MAX_20220729_Mdr_GFP_lac_GD_L3_S5R_C3.tif,5.653,255,255,255,1441.528,341190
729,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C1.tif,101.235,255,255,255,25814.984,6110055
730,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C1.tif,119.821,245.703,0,255,29440.351,6968130
731,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C1.tif,3.435,255,255,255,875.906,207315
732,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,6.126,255,255,255,1562.194,369750
733,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,4.546,255,255,255,1159.256,274380
734,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,17.973,255,255,255,4583.153,1084770
735,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,162.51,253.667,0,255,41223.602,9757065
736,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,33.466,255,255,255,8533.888,2019855
737,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,130.954,253.782,0,255,33233.788,7865985
738,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,14.982,255,255,255,3820.372,904230
739,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,2.058,255,255,255,524.682,124185
740,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,20.99,255,255,255,5352.399,1266840
741,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,2.805,255,255,255,715.377,169320
742,MAX_20220729_Mdr_GFP_lac_GD_L4_S2R_C3.tif,2.113,255,255,255,538.688,127500
743,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C1.tif,243.17,253.888,0,255,61737.9,14612520
744,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C1.tif,3.401,255,255,255,867.287,205275
745,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C3.tif,6.354,255,255,255,1620.372,383520
746,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C3.tif,368.412,253.073,0,255,93234.96,22067445
747,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C3.tif,2.518,255,255,255,642.116,151980
748,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C3.tif,3.688,255,255,255,940.548,222615
749,MAX_20220729_Mdr_GFP_lac_GD_L4_S3L_C3.tif,4.098,255,255,255,1045.054,247350
750,MAX_20220729_Mdr_GFP_lac_GD_L4_S3R_C1.tif,184.671,254.02,0,255,46909.987,11102955
751,MAX_20220729_Mdr_GFP_lac_GD_L4_S3R_C3.tif,433.557,233.17,0,255,101092.256,23927160
752,MAX_20220729_Mdr_GFP_lac_GD_L4_S3R_C3.tif,2.184,255,255,255,557.003,131835
753,MAX_20220729_Mdr_GFP_lac_GD_L4_S4L_C1.tif,166.79,255,255,255,42531.535,10066635
754,MAX_20220729_Mdr_GFP_lac_GD_L4_S4L_C3.tif,342.453,252.367,0,255,86423.795,20455335
755,MAX_20220729_Mdr_GFP_lac_GD_L4_S4L_C3.tif,2.729,255,255,255,695.984,164730
756,MAX_20220729_Mdr_GFP_lac_GD_L4_S4L_C3.tif,2.514,255,255,255,641.038,151725
757,MAX_20220729_Mdr_GFP_lac_GD_L4_S4R_C1.tif,28.857,255,255,255,7358.472,1741650
758,MAX_20220729_Mdr_GFP_lac_GD_L4_S4R_C3.tif,82.05,255,255,255,20922.624,4952100
759,MAX_20220729_Mdr_GFP_lac_GD_L4_S4R_C3.tif,2.412,255,255,255,615.181,145605
760,MAX_20220729_Mdr_GFP_lac_GD_L4_S4R_C3.tif,76.608,255,255,255,19534.964,4623660
761,MAX_20220729_Mdr_GFP_lac_GD_L4_S5L_C1.tif,5.095,255,255,255,1299.314,307530
762,MAX_20220729_Mdr_GFP_lac_GD_L4_S5L_C1.tif,13.833,255,255,255,3527.326,834870
