...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
306,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C1.tif,269.893,254.613,0,255,68718.213,16264665
307,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C1.tif,3.743,255,255,255,954.554,225930
308,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C1.tif,44.967,255,255,255,11466.503,2713965
309,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C1.tif,9.658,251.319,0,255,2427.326,574515
310,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C1.tif,15.028,254.857,0,255,3830.068,906525
311,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C1.tif,5.188,254.792,0,255,1321.939,312885
312,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C3.tif,599.84,239.403,0,255,143603.321,33988950
313,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C3.tif,2.843,255,255,255,725.073,171615
314,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C3.tif,5.083,255,255,255,1296.082,306765
315,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S2R_C3.tif,78.201,239.68,0,255,18743.094,4436235
316,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S3R_C1.tif,197.738,251.753,0,255,49781.192,11782530
317,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S3R_C3.tif,467.868,236.578,0,255,110687.358,26198190
318,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S3R_C3.tif,2.734,255,255,255,697.062,164985
319,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S3R_C3.tif,125.018,229.224,0,255,28657.099,6782745
320,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S4R_C1.tif,41.582,254.508,0,255,10583.055,2504865
321,MAX_20221220_46F_Gal4_cd8_GFP_GD_L5_S4R_C3.tif,213.189,254.636,0,255,54285.697,12848685
322,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C1.tif,15.223,254.009,0,255,3866.699,915195
323,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C1.tif,17.83,253.973,0,255,4528.207,1071765
324,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C1.tif,14.602,245.408,0,255,3583.349,848130
325,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C1.tif,61.981,252.236,0,255,15633.789,3700305
326,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C1.tif,2.028,255,255,255,517.14,122400
327,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C1.tif,2.205,249.626,0,255,550.539,130305
328,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C3.tif,845.883,230.905,0,255,195318.401,46229205
329,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C3.tif,5.602,254.423,0,255,1425.367,337365
330,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C3.tif,24.387,255,255,255,6218.609,1471860
331,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C3.tif,2.193,250.578,0,255,549.461,130050
332,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2L_C3.tif,4.871,255,255,255,1242.213,294015
333,MAX_20221220_46F_Gal4_cd8_GFP_GD_L6_S2R_C1.tif,8.851,254.635,0,255,2253.869,533460
