 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
79,20220909_Nrv2_GFP_CTRL_L6_S3R_C1.tif,2.666,253.384,0,255,675.514,159885
80,20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,54.008,254.980,0,255,13771.008,3259410
81,20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,84.720,255.000,255,255,21603.525,5113260
82,20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,2.797,255.000,255,255,713.222,168810
83,20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,6.076,255.000,255,255,1549.265,366690
84,20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,2.336,255.000,255,255,595.788,141015
85,20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,16.942,254.936,0,255,4319.197,1022295
86,20220909_Nrv2_GFP_CTRL_L7_S2R_C1.tif,7.026,253.467,0,255,1780.901,421515
87,20220909_Nrv2_GFP_CTRL_L7_S2R_C3.tif,514.973,253.186,0,255,130383.929,30860100
88,20220909_Nrv2_GFP_CTRL_L7_S3R_C1.tif,8.078,255.000,255,255,2059.941,487560
89,20220909_Nrv2_GFP_CTRL_L7_S3R_C3.tif,427.646,254.647,0,255,108898.916,25774890
90,20220909_Nrv2_GFP_CTRL_L7_S4R_C1.tif,3.688,253.540,0,255,935.162,221340
91,20220909_Nrv2_GFP_CTRL_L7_S4R_C3.tif,268.748,254.535,0,255,68405.774,16190715
92,20220909_Nrv2_GFP_GD_L1_S3L_C1.tif,2.919,255.000,255,255,744.466,176205
93,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,2.721,255.000,255,255,693.830,164220
94,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,45.710,254.741,0,255,11644.270,2756040
95,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,3.807,255.000,255,255,970.715,229755
96,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,121.950,249.381,0,255,30412.143,7198140
97,20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,2.586,255.000,255,255,659.354,156060
